"legacy_cartera_id","id_cartera","id_sucursal","id_cliente","id_vendedor","id_territorio","autorizaok","fecha","dias_cre","concepto","cuota","monto","valorinteres","montototal","abono","saldo","tasa","procesa","trabajo","tipo","quien","atraso","incobrable","id_actividad","proceso","creadoel","creadopor","creadoen","modificadoel","modificadopor","modificadoen","ad_org_id","ad_client_id","isactive","created","createdby","updated","updatedby","synced","local_id","c_bpartner_id","origen","aprobado","masterkey","syncedtocloud","payment_id","coords","minilog","consecutivo","carterastatus","anticipado"
"10624058","44156747181405849",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:36:48",30,"MODO-02","383.30","10000.0","1500.00","11500.0","0.0","11500.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:36:48",NULL,NULL,NULL,NULL,NULL,"1000014","1000000","Y","2025-10-01 12:36:48","1000083","2025-10-03 14:41:03.713","1000004","Y","1967102","1051487","native","Y","3ee02d97-438b-5432-b4a1-2bafb46bc07f","Y","6916879","11.8411181|-86.1962136|547.5|15.51200008392334",NULL,NULL,"VALIDO",NULL
"10624057","18840342630712468",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:36:34",30,"MODO-02","230.00","6000.0","900.00","6900.0","0.0","6900.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:36:34",NULL,NULL,NULL,NULL,NULL,"1000022","1000000","Y","2025-10-01 12:36:34","1000117","2025-10-03 14:41:02.602","1000004","Y","1967101","1046551","native","Y","8f9c8d02-d8fe-5e90-bff7-a886e9f278d8","Y","6916878","12.5541841|-86.9786962|87.80000305175781|28.100000381469727",NULL,NULL,"VALIDO",NULL
"10624056","39297695274954974",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:32:33",30,"MODO-02","575.00","15000.0","2250.00","17250.0","0.0","17250.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:32:33",NULL,NULL,NULL,NULL,NULL,"1000003","1000000","Y","2025-10-01 12:32:33","1000135","2025-10-03 14:41:01.567","1000004","Y","1967100","1051867","native","Y","4e34e026-67a0-5e40-bebe-b89dca12da6a","Y","6916877","12.1868041|-86.3468691|69.0|15.425000190734863",NULL,NULL,"VALIDO",NULL
"10624055","18296499138357794",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:31:18",30,"MODO-02","383.30","10000.0","1500.00","11500.0","0.0","11500.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:31:18",NULL,NULL,NULL,NULL,NULL,"1000017","1000000","Y","2025-10-01 12:31:18","1000085","2025-10-03 14:41:00.422","1000004","Y","1967099","1014567","native","Y","eb93a264-e089-562e-a750-643564ec22ba","Y","6916876","13.6336657|-86.47597|622.2999877929688|12.581000328063965",NULL,NULL,"VALIDO",NULL
"10624054","44156747181013927",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:30:17",30,"MODO-02","651.70","17000.0","2550.00","19550.0","0.0","19550.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:30:17",NULL,NULL,NULL,NULL,NULL,"1000014","1000000","Y","2025-10-01 12:30:17","1000127","2025-10-03 14:40:59.204","1000004","Y","1967098","1032985","native","Y","12fbe7e8-ebd3-541b-9006-3bbbcdb33e90","Y","6916875","11.9739563|-86.0866995|257.6000061035156|20.0",NULL,NULL,"VALIDO",NULL
"10624053","21976571446190799",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:28:10",30,"MODO-02","115.00","3000.0","450.00","3450.0","0.0","3450.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:28:10",NULL,NULL,NULL,NULL,NULL,"1000005","1000000","Y","2025-10-01 12:28:10","1000062","2025-10-03 14:40:58.002","1000004","Y","1967097","1049982","native","Y","1036119b-3003-5e31-b8a4-8389177f1adb","Y","6916874","12.2636539|-85.0809764|539.2000122070312|14.560999870300293",NULL,NULL,"VALIDO",NULL
"10624052","18840342630145342",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:27:06",30,"MODO-02","191.70","5000.0","750.00","5750.0","0.0","5750.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:27:06",NULL,NULL,NULL,NULL,NULL,"1000022","1000000","Y","2025-10-01 12:27:06","1000134","2025-10-03 14:40:56.95","1000004","Y","1967096","1049250","native","Y","1aabf541-6034-5fec-9a80-3896066582bd","Y","6916873","12.5943317|-86.6779967|122.0999984741211|11.600000381469727",NULL,NULL,"VALIDO",NULL
"10624051","24310669879702437",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:25:24",30,"MODO-02","268.30","7000.0","1050.00","8050.0","0.0","8050.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:25:24",NULL,NULL,NULL,NULL,NULL,"1000018","1000000","Y","2025-10-01 12:25:24","1000049","2025-10-03 14:40:55.73","1000004","Y","1967095","1047700","native","Y","540f3a5a-1704-51f2-9159-b0a51ce220fd","Y","6916872","11.9902617|-84.8230533|319.59999999999997|8.300000190734863",NULL,NULL,"VALIDO",NULL
"10624050","44154987837598581",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:21:25",23,"MODO-02","300.00","6000.0","900.00","6900.0","0.0","6900.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:21:25",NULL,NULL,NULL,NULL,NULL,"1000014","1000000","Y","2025-10-01 12:21:25","1000083","2025-10-03 14:40:54.695","1000004","Y","1967094","1038852","native","Y","8abc0a5c-1f35-514d-a34a-9ac61a605365","Y","6916871","11.8399634|-86.201772|541.2999877929688|20.0",NULL,NULL,"VALIDO",NULL
"10624049","44149709824824021",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:19:51",23,"MODO-02","250.00","5000.0","750.00","5750.0","0.0","5750.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:19:51",NULL,NULL,NULL,NULL,NULL,"1000014","1000000","Y","2025-10-01 12:19:51","1000083","2025-10-03 14:40:53.626","1000004","Y","1967093","1037260","native","Y","47134980-a094-5247-a838-8246c5d2b39d","Y","6916870","11.8399629|-86.2017741|540.7000122070312|20.0",NULL,NULL,"VALIDO",NULL
"10624048","35145321404294199",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:18:00",30,"MODO-02","383.30","10000.0","1500.00","11500.0","0.0","11500.0","0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:18:00",NULL,NULL,NULL,NULL,NULL,"1000026","1000000","Y","2025-10-01 12:18:00","1000120","2025-10-03 14:40:52.473","1000004","Y","1967092","1046785","native","Y","1b736847-9f92-5c1d-8b09-e24864d33e63","Y","6916869","11.5691172|-85.5787477|66.5|9.5",NULL,NULL,"VALIDO",NULL
"10624047","24307151199053079",NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:14:29",50,"MODO-02","750.00","30000.0","7500.00","37500.0","0.0","37500.0","0.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-01 12:14:29",NULL,NULL,NULL,NULL,NULL,"1000018","1000000","Y","2025-10-01 12:14:29","1000049","2025-10-03 14:40:51.195","1000004","Y","1967091","1027819","native","Y","8ce6a9c4-195f-59d1-bab9-470dea02b4f4","Y","6916868","11.9909133|-84.82257|562.0|10.399999618530273",NULL,NULL,"VALIDO",NULL
